HGNC ID,GENE,Approved name,Status,Previous symbols,Alias symbols,Chromosome,Accession numbers,RefSeq IDs,ENTREZ,ENSGID,GENE_GC%,CHR,START,END,GENE_BIOMART_OTHERS
HGNC:22215,ANKIB1,ankyrin repeat and IBR domain containing 1,Approved,,"DKFZP434A0225, KIAA1386",7q21.2,AB037807,,54467,ENSG00000001629,36.77,7,91875548,92030698,
HGNC:2649,CYP51A1,cytochrome P450 family 51 subfamily A member 1,Approved,CYP51,"CP51, CYPL1, P450L1, LDM, P450-14DM",7q21.2,U51685,,1595,ENSG00000001630,39.91,7,91741465,91772266,
HGNC:1573,KRIT1,KRIT1 ankyrin repeat containing,Approved,CCM1,CAM,7q21.2,AJ294850,,889,ENSG00000001631,36.48,7,91828283,91875480,
HGNC:9824,RAD52,"RAD52 homolog, DNA repair protein",Approved,,,12p13.33,,NM_134424,5893,ENSG00000002016,45.17,12,1021243,1099219,
HGNC:936,BAD,BCL2 associated agonist of cell death,Approved,,"BCL2L8, BBC2",11q13.1,AF021792,NM_032989,572,ENSG00000002330,53.92,11,64037302,64052176,
HGNC:18449,LAP3,leucine aminopeptidase 3,Approved,PEPS,"LAPEP, LAP",4p15.32,AF061738,,51056,ENSG00000002549,44.17,4,17578815,17609595,
HGNC:5194,HS3ST1,heparan sulfate-glucosamine 3-sulfotransferase 1,Approved,,3OST1,4p15.33,AF019386,NM_005114,9957,ENSG00000002587,43.92,4,11394774,11431389,
HGNC:80,AOC1,amine oxidase copper containing 1,Approved,ABP1,DAO,7q36.1,AK092514,NM_001091,26,ENSG00000002726,47.8,7,150521715,150558592,
HGNC:16267,WNT16,Wnt family member 16,Approved,,,7q31.31,AF152584,NM_057168,51384,ENSG00000002745,38.61,7,120965421,120981158,
HGNC:22195,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",Approved,,"KIAA0322, NEDL1",7p14.1-p13,AB048365,NM_015052,23072,ENSG00000002746,42.03,7,43152198,43605600,
HGNC:6762,MAD1L1,mitotic arrest deficient 1 like 1,Approved,,"HsMAD1, TXBP181, MAD1, PIG9, TP53I9",7p22.3,U33822,NM_003550,8379,ENSG00000002822,55.65,7,1855429,2272878,
HGNC:6513,LASP1,LIM and SH3 protein 1,Approved,,"MLN50, Lasp-1",17q12,,NM_006148,3927,ENSG00000002834,53.69,17,37026112,37078023,
HGNC:14975,SNX11,sorting nexin 11,Approved,,,17q21.32,AF121861,,29916,ENSG00000002919,48,17,46180719,46200436,
HGNC:24930,TMEM176A,transmembrane protein 176A,Approved,,"HCA112, MS4B1",7q36.1,AF258340,NM_018487,55365,ENSG00000002933,57.57,7,150497491,150502208,
HGNC:6752,M6PR,"mannose-6-phosphate receptor, cation dependent",Approved,,"CD-MPR, CD-M6PR",12p13.31,,,4074,ENSG00000003056,42.71,12,9092959,9102551,
HGNC:20581,CYP26B1,cytochrome P450 family 26 subfamily B member 1,Approved,,P450RAI-2,2p13.2,,NM_019885,56603,ENSG00000003137,59.96,2,72356367,72375167,
HGNC:5343,ICA1,islet cell autoantigen 1,Approved,,"ICAp69, ICA69",7p21.3,,NM_004968,3382,ENSG00000003147,40.3,7,8152814,8302317,
HGNC:28455,DBNDD1,dysbindin domain containing 1,Approved,,"MGC3101, FLJ12582",16q24.3,AK090696,NM_024043,79007,ENSG00000003249,59.39,16,90071273,90086536,
HGNC:443,ALS2,alsin Rho guanine nucleotide exchange factor ALS2,Approved,ALS2CR6,,2q33.1,AB053305,NM_020919,57679,ENSG00000003393,38.06,2,202565277,202645912,
HGNC:1500,CASP10,caspase 10,Approved,,MCH4,2q33.1,U60519,NM_032977,843,ENSG00000003400,42.31,2,202047604,202094129,
HGNC:1876,CFLAR,CASP8 and FADD like apoptosis regulator,Approved,CASP8AP1,"CASH, Casper, CLARP, FLAME, FLIP, I-FLICE, MRIT, c-FLIP, cFLIP",2q33.1,AF005774,NM_003879,8837,ENSG00000003402,44.35,2,201980827,202041410,
HGNC:11760,TFPI,tissue factor pathway inhibitor,Approved,LACI,"EPI, TFI, TFPI1",2q32.1,,NM_006287,7035,ENSG00000003436,36.6,2,188328957,188430487,
HGNC:28816,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7,Approved,C2orf56,"PRO1853, MidA",2p22.2,,NM_144736,55471,ENSG00000003509,38.97,2,37458774,37480546,
HGNC:9902,RBM5,RNA binding motif protein 5,Approved,,"LUCA15, LUCA-15, H37",3p21.31,U23946,NM_005778,10181,ENSG00000003756,44.45,3,50126341,50156454,
HGNC:7454,MTMR7,myotubularin related protein 7,Approved,,,8p22,AF073482,NM_004686,9108,ENSG00000003987,40.36,8,17155539,17271037,
HGNC:11060,SLC7A2,solute carrier family 7 member 2,Approved,ATRC2,"CAT-2, HCAT2",8p22,D29990,NM_003046,6542,ENSG00000003989,40.13,8,17354597,17428082,
HGNC:658,ARF5,ADP ribosylation factor 5,Approved,,,7q32.1,,NM_001662,381,ENSG00000004059,56.5,7,127228399,127231759,
HGNC:17074,SARM1,sterile alpha and TIR motif containing 1,Approved,,"SARM, SAMD2, KIAA0524",17q11.2,AB011096,NM_015077,23098,ENSG00000004139,51.82,17,26691378,26728065,
HGNC:23781,POLDIP2,DNA polymerase delta interacting protein 2,Approved,,"PDIP38, DKFZP586F1524",17q11.2,AF077203,NM_015584,26073,ENSG00000004142,49.85,17,26673659,26684545,
HGNC:9107,PLXND1,plexin D1,Approved,,KIAA0620,3q22.1,AY116661,NM_015103,23129,ENSG00000004399,58.39,3,129274018,129325661,
HGNC:362,AK2,adenylate kinase 2,Approved,,,1p35.1,U84371,NM_001625,204,ENSG00000004455,46.32,1,33473585,33546597,
HGNC:1667,CD38,CD38 molecule,Approved,,,4p15.32,D84276,NM_001775,952,ENSG00000004468,41.09,4,15779898,15854853,
HGNC:3720,FKBP4,FKBP prolyl isomerase 4,Approved,,"FKBP59, FKBP52",12p13.33,M88279,,2288,ENSG00000004478,51.61,12,2904119,2914576,
HGNC:29079,KDM1A,lysine demethylase 1A,Approved,"AOF2, KDM1","KIAA0601, BHC110, LSD1",1p36.12,AL031428,NM_015013,23028,ENSG00000004487,39.16,1,23345941,23410182,
HGNC:9903,RBM6,RNA binding motif protein 6,Approved,,"DEF-3, 3G2, NY-LU-12, g16, DEF3",3p21.31,AF069517,NM_005777,10180,ENSG00000004534,44.14,3,49977440,50137478,
HGNC:1469,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1,Approved,,"DKFZp761M0423, CAMKKA, MGC34095",17p13.2,AL136576,"NM_032294, NM_172206, NM_172207",84254,ENSG00000004660,57.17,17,3763609,3798185,
HGNC:9948,RECQL,RecQ like helicase,Approved,,"RecQ1, RecQL1",12p12.1,D37984,NM_002907,5965,ENSG00000004700,37.57,12,21621845,21654603,
HGNC:25956,VPS50,VPS50 subunit of EARP/GARPII complex,Approved,CCDC132,"KIAA1861, FLJ20097, DKFZp313I2429, VPS54L",7q21.2-q21.3,"AL833112, AK055965, AL832393",NM_017667,55610,ENSG00000004766,34.84,7,92861653,92988338,CCDC132
HGNC:26511,HSPB6,heat shock protein family B (small) member 6,Approved,,"FLJ32389, Hsp20, PPP1R91",19q13.12,AJ278121,NM_144617,126393,ENSG00000004776,62.56,19,36245469,36248980,
HGNC:23085,ARHGAP33,Rho GTPase activating protein 33,Approved,SNX26,"FLJ39019, TCGAP",19q13.12,AY044864,NM_052948,115703,ENSG00000004777,60.93,19,36265434,36279724,
HGNC:7694,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,Approved,,"SDAP, FASN2A, ACP, ACP1",16p12.2,AF087660,NM_005003,4706,ENSG00000004779,48.8,16,23592323,23607677,
HGNC:8812,PDK4,pyruvate dehydrogenase kinase 4,Approved,,,7q21.3,U54617,NM_002612,5166,ENSG00000004799,36.07,7,95212811,95225803,
HGNC:20302,SLC22A16,solute carrier family 22 member 16,Approved,,"FLIPT2, CT2, OKB1, OAT6",6q21,,NM_033125,85413,ENSG00000004809,41.32,6,110745890,110797844,
HGNC:19412,ZMYND10,zinc finger MYND-type containing 10,Approved,,"BLU, CILD22, DNAAF7",3p21.31,U70824,NM_015896,51364,ENSG00000004838,57.81,3,50378541,50384283,
HGNC:46,ABCB5,ATP binding cassette subfamily B member 5,Approved,,"EST422562, ABCB5beta, ABCB5alpha",7p21.1,U66692,NM_178559,340273,ENSG00000004846,37.73,7,20654830,20816658,
HGNC:10983,SLC25A13,solute carrier family 25 member 13,Approved,CTLN2,"CITRIN, ARALAR2",7q21.3,AF118838,NM_014251,10165,ENSG00000004864,39.76,7,95749532,95951459,
HGNC:11351,ST7,suppression of tumorigenicity 7,Approved,FAM4A1,"TSG7, SEN4, ETS7q, HELG, RAY1, FAM4A",7q31.2,AJ277291,NM_021908,7982,ENSG00000004866,39.15,7,116593292,116870157,
HGNC:1728,CDC27,cell division cycle 27,Approved,"D0S1430E, D17S978E","APC3, ANAPC3, NUC2",17q21.32,U00001,,996,ENSG00000004897,38.66,17,45195069,45266788,
HGNC:11027,SLC4A1,solute carrier family 4 member 1 (Diego blood group),Approved,"EPB3, AE1, DI, WD","RTA1A, CD233, FR, SW, WR",17q21.31,,NM_000342,6521,ENSG00000004939,55.8,17,42325753,42345509,
HGNC:1440,CALCR,calcitonin receptor,Approved,,CTR,7q21.3,L00587,NM_001742,799,ENSG00000004948,35.2,7,93053799,93204042,
HGNC:3086,DVL2,dishevelled segment polarity protein 2,Approved,,,17p13.1,BC014844,NM_004422,1856,ENSG00000004975,55.14,17,7128660,7137864,
HGNC:14368,PRSS22,serine protease 22,Approved,,"hBSSP-4, BSSP-4, SP001LA",16p13.3,AF321182,NM_022119,64063,ENSG00000005001,59.35,16,2902728,2908171,
HGNC:9962,UPF1,UPF1 RNA helicase and ATPase,Approved,RENT1,"HUPF1, KIAA0221, NORF1, pNORF1, smg-2",19p13.11,AF074016,NM_002911,5976,ENSG00000005007,55.15,19,18942747,18979045,
HGNC:15687,SKAP2,src kinase associated phosphoprotein 2,Approved,SCAP2,"RA70, SKAP-HOM, SKAP55R, SAPS",7p15.2,,,8935,ENSG00000005020,36.94,7,26706681,27034858,
HGNC:26076,MCUB,mitochondrial calcium uniporter dominant negative subunit beta,Approved,CCDC109B,FLJ20647,4q25,BC002633,NM_017918,55013,ENSG00000005059,41.02,4,110481361,110609874,CCDC109B
HGNC:5101,HOXA11,homeobox A11,Approved,"HOX1I, HOX1",,7p15.2,,,3207,ENSG00000005073,55.22,7,27221129,27224842,
HGNC:9197,POLR2J,RNA polymerase II subunit J,Approved,,"RPB11, hRPB14, RPB11A, RPB11m, POLR2J1",7q22.1,X98433,NM_006234,5439,ENSG00000005075,55.04,7,102113565,102119354,
HGNC:16718,DHX33,DEAH-box helicase 33,Approved,DDX33,"FLJ21972, DKFZp762F2011",17p13.2,AL359945,NM_020162,56919,ENSG00000005100,45.81,17,5344232,5372380,
HGNC:7013,MEOX1,mesenchyme homeobox 1,Approved,,MOX1,17q21.31,,,4222,ENSG00000005102,51.61,17,41717756,41739322,
HGNC:22207,THSD7A,thrombospondin type 1 domain containing 7A,Approved,,KIAA0960,7p21.3,,NM_015204,221981,ENSG00000005108,35.51,7,11409984,11871824,
HGNC:6600,LIG3,DNA ligase 3,Approved,LIG2,LIG3alpha,17q12,,NM_013975,3980,ENSG00000005156,47.71,17,33307513,33332083,
HGNC:26151,RPAP3,RNA polymerase II associated protein 3,Approved,,"FLJ21908, spag, hSpagh, Tah1",12q13.11,AK025561,NM_024604,79657,ENSG00000005175,36.73,12,48057070,48099844,
HGNC:10522,ACSM3,acyl-CoA synthetase medium chain family member 3,Approved,SAH,SA,16p12.3,D16350,NM_005622,6296,ENSG00000005187,41.08,16,20621565,20808903,
HGNC:24661,REXO5,RNA exonuclease 5,Approved,,NEF-sp,16p12.3,AF332193,NM_030941,81691,ENSG00000005189,39.89,16,20817751,20860987,AC004381.6
HGNC:28050,CIAPIN1,cytokine induced apoptosis inhibitor 1,Approved,,"Anamorsin, CIAE2",16q21,AF248964,NM_020313,57019,ENSG00000005194,44.41,16,57462081,57481440,
HGNC:30627,SPPL2B,signal peptide peptidase like 2B,Approved,,"IMP4, PSL1, KIAA1532",19p13.3,,NM_020172,56928,ENSG00000005206,61.04,19,2328614,2355099,
HGNC:25666,FAM214B,family with sequence similarity 214 member B,Approved,KIAA1539,"FLJ11560, bA182N22.6",9p13.3,AB040972,NM_025182,80256,ENSG00000005238,54.68,9,35104109,35116338,
HGNC:19356,COPZ2,COPI coat complex subunit zeta 2,Approved,,MGC23008,17q21.32,AB037938,NM_016429,51226,ENSG00000005243,52.7,17,46103533,46115392,
HGNC:9392,PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta,Approved,PRKAR2,,7q22.3,,,5577,ENSG00000005249,38.63,7,106685094,106802256,
HGNC:2348,CREBBP,CREB binding protein,Approved,RSTS,"RTS, CBP, KAT3A",16p13.3,U85962,NM_004380,1387,ENSG00000005339,45.01,16,3775055,3930727,
HGNC:16831,TSPOAP1,TSPO associated protein 1,Approved,BZRAP1,"PRAX-1, KIAA0612, RIM-BP1, RIMBP1",17q22,AB014512,NM_004758,9256,ENSG00000005379,57.85,17,56378592,56406152,BZRAP1
HGNC:7218,MPO,myeloperoxidase,Approved,,,17q22,,,4353,ENSG00000005381,55.13,17,56347217,56358296,
HGNC:9204,PON1,paraoxonase 1,Approved,PON,ESA,7q21.3,AF539592,NM_000446,5444,ENSG00000005421,39.93,7,94926988,95025673,
HGNC:1317,GCFC2,GC-rich sequence DNA-binding factor 2,Approved,"TCF9, C2orf3","DNABF, GCF",2p12,AB026911,NM_003203,6936,ENSG00000005436,36.39,2,75879126,75938115,
HGNC:25770,WDR54,WD repeat domain 54,Approved,,FLJ12953,2p13.1,AK023015,NM_032118,84058,ENSG00000005448,54.68,2,74648805,74652882,
HGNC:2366,CROT,carnitine O-octanoyltransferase,Approved,,COT,7q21.12,,NM_021151,54677,ENSG00000005469,37.43,7,86974997,87029111,
HGNC:45,ABCB4,ATP binding cassette subfamily B member 4,Approved,"PGY3, MDR3","MDR2, PFIC-3, GBD1",7q21.12,M23234,NM_000443,5244,ENSG00000005471,38.6,7,87031013,87109751,
HGNC:18541,KMT2E,lysine methyltransferase 2E (inactive),Approved,MLL5,HDCMC04P,7q22.3,AF067804,,55904,ENSG00000005483,37.46,7,104654626,104754808,
HGNC:23082,RHBDD2,rhomboid domain containing 2,Approved,RHBDL7,NPD007,7q11.23,AF226732,NM_020684,57414,ENSG00000005486,47.79,7,75471920,75518244,
HGNC:11203,SOX8,SRY-box transcription factor 8,Approved,,,16p13.3,AF164104,,30812,ENSG00000005513,64.79,16,1031808,1036979,
HGNC:17853,IBTK,inhibitor of Bruton tyrosine kinase,Approved,BTKI,"DKFZP564B116, BTBD26",6q14.1,AF235049,NM_015525,25998,ENSG00000005700,36.07,6,82879700,82957471,
HGNC:12986,ZNF195,zinc finger protein 195,Approved,,,11p15.5,,,7748,ENSG00000005801,41.43,11,3360491,3400448,
HGNC:23386,MYCBP2,MYC binding protein 2,Approved,,"PAM, KIAA0916, FLJ10106, PHR1",13q22.3,AB020723,NM_015057,23077,ENSG00000005810,35.72,13,77618792,77901185,
HGNC:13599,FBXL3,F-box and leucine rich repeat protein 3,Approved,FBXL3A,"FBL3, FBL3A",13q22.3,AF129532,,26224,ENSG00000005812,38.37,13,77566740,77601330,
HGNC:6148,ITGAL,integrin subunit alpha L,Approved,CD11A,LFA-1,16p11.2,,,3683,ENSG00000005844,50.46,16,30483979,30534506,
HGNC:8810,PDK2,pyruvate dehydrogenase kinase 2,Approved,,PDHK2,17q21.33,L42451,NM_002611,5164,ENSG00000005882,56.67,17,48172101,48189516,
HGNC:6139,ITGA3,integrin subunit alpha 3,Approved,MSK18,"CD49c, VLA3a, VCA-2, GAP-B3",17q21.33,M59911,NM_005501,3675,ENSG00000005884,52.65,17,48133332,48167845,
HGNC:6138,ITGA2B,integrin subunit alpha 2b,Approved,GP2B,"CD41B, CD41, PPP1R93",17q21.31,,,3674,ENSG00000005961,54.83,17,42449548,42466873,
HGNC:16009,ASB4,ankyrin repeat and SOCS box containing 4,Approved,,ASB-4,7q21.3,AF156779,NM_016116,51666,ENSG00000005981,38.27,7,95107756,95169544,
HGNC:29644,GDE1,glycerophosphodiester phosphodiesterase 1,Approved,,MIR16,16p12.3,,NM_016641,51573,ENSG00000006007,40.17,16,19513015,19533467,
HGNC:26098,REX1BD,required for excision 1-B domain containing,Approved,C19orf60,"FLJ20850, FLJ30108, FLJ34606, FLJ37391",19p13.11,AK000857,NM_017967,55049,ENSG00000006015,60.24,19,18699495,18703146,C19orf60
HGNC:2364,CRLF1,cytokine receptor like factor 1,Approved,,"CLF-1, CLF, CISS, CISS1",19p12,AF059293,,9244,ENSG00000006016,55.32,19,18683030,18718551,
HGNC:16387,OSBPL7,oxysterol binding protein like 7,Approved,,"ORP7, MGC71150",17q21.32,AF392446,NM_017731,114881,ENSG00000006025,57.86,17,45884738,45899200,
HGNC:24529,TMEM98,transmembrane protein 98,Approved,,DKFZP564K1964,17q11.2,CR605381,NM_015544,26022,ENSG00000006042,48.47,17,31254928,31272124,
HGNC:17948,YBX2,Y-box binding protein 2,Approved,,"MSY2, CSDA3, Contrin",17p13.1,AF096834,NM_015982,51087,ENSG00000006047,57.92,17,7191571,7197934,
HGNC:6450,KRT33A,keratin 33A,Approved,KRTHA3A,"Ha-3I, Krt1-3",17q21.2,Y16788,NM_004138,3883,ENSG00000006059,48.36,17,39502344,39507064,
HGNC:6853,MAP3K14,mitogen-activated protein kinase kinase kinase 14,Approved,,"NIK, HSNIK, FTDCR1B, HS",17q21.31,Y10256,NM_003954,9020,ENSG00000006062,49.97,17,43340488,43394414,
HGNC:59,ABCC8,ATP binding cassette subfamily C member 8,Approved,"SUR, HRINS","HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2",11p15.1,L78207,NM_000352,6833,ENSG00000006071,50.03,11,17414432,17498449,
HGNC:1407,CACNG3,calcium voltage-gated channel auxiliary subunit gamma 3,Approved,,,16p12.1,AF131911,NM_006539,10368,ENSG00000006116,44.54,16,24266874,24374122,
HGNC:31092,TMEM132A,transmembrane protein 132A,Approved,HSPA5BP1,"GBP, FLJ20539",11q12.2,AK000546,NM_017870,54972,ENSG00000006118,58.71,11,60691935,60704631,
HGNC:563,AP2B1,adaptor related protein complex 2 subunit beta 1,Approved,"ADTB2, CLAPB1",,17q12,M34175,,163,ENSG00000006125,39.93,17,33905065,34053436,
HGNC:11517,TAC1,tachykinin precursor 1,Approved,"TAC2, NKNA",NPK,7q21.3,M68907,NM_003182,6863,ENSG00000006128,39.8,7,97361220,97369784,
HGNC:13056,ZNF263,zinc finger protein 263,Approved,,"FPM315, ZKSCAN12, ZSCAN44",16p13.3,AC004232,,10127,ENSG00000006194,47.12,16,3313743,3351401,
HGNC:10647,CX3CL1,C-X3-C motif chemokine ligand 1,Approved,SCYD1,"NTN, C3Xkine, ABCD-3, CXC3C, CXC3",16q21,U84487,NM_002996,6376,ENSG00000006210,53.7,16,57406370,57418960,
HGNC:26125,SPATA20,spermatogenesis associated 20,Approved,,"FLJ21347, SSP411, Tisp78",17q21.33,,NM_022827,64847,ENSG00000006282,57.05,17,48620419,48633213,
HGNC:1394,CACNA1G,calcium voltage-gated channel subunit alpha1 G,Approved,,"Cav3.1, NBR13",17q21.33,AC004590,NM_018896,8913,ENSG00000006283,56.83,17,48638429,48704835,
HGNC:18152,TNFRSF12A,TNF receptor superfamily member 12A,Approved,,"FN14, TweakR, CD266",16p13.3,AB035480,,51330,ENSG00000006327,60.12,16,3068446,3072384,
HGNC:2919,DLX6,distal-less homeobox 6,Approved,,,7q21.3,,NM_005222,1750,ENSG00000006377,49.51,7,96634860,96640351,
HGNC:6861,MAP3K9,mitogen-activated protein kinase kinase kinase 9,Approved,MLK1,"PRKE1, MEKK9",14q24.2,AF251442,,4293,ENSG00000006432,44.98,14,71189243,71276251,
HGNC:9839,RALA,RAS like proto-oncogene A,Approved,RAL,,7p14.1,,NM_005402,5898,ENSG00000006451,39.69,7,39663082,39747723,
HGNC:21649,BAIAP2L1,BAR/IMD domain containing adaptor protein 2 like 1,Approved,,IRTKS,7q21.3-q22.1,AF119666,NM_018842,55971,ENSG00000006453,46.77,7,97920963,98030380,
HGNC:22224,KDM7A,lysine demethylase 7A,Approved,JHDM1D,KIAA1718,7q34,,NM_030647,80853,ENSG00000006459,39.18,7,139784546,139876835,
HGNC:3490,ETV1,ETS variant transcription factor 1,Approved,,ER81,7p21.2,,NM_004956,2115,ENSG00000006468,36.3,7,13930853,14031050,
HGNC:21869,AGK,acylglycerol kinase,Approved,MULK,FLJ10842,7q34,BC022777,NM_018238,55750,ENSG00000006530,39.59,7,141250989,141355044,
HGNC:410,ALDH3B1,aldehyde dehydrogenase 3 family member B1,Approved,ALDH7,,11q13.2,U10868,NM_000694,221,ENSG00000006534,58.4,11,67776048,67796744,
HGNC:26067,TTC22,tetratricopeptide repeat domain 22,Approved,,FLJ20619,1p32.3,AK000626,NM_017904,55001,ENSG00000006555,52.26,1,55245385,55266940,
HGNC:13411,PHTF2,putative homeodomain transcription factor 2,Approved,,DKFZp434D166,7q11.23-q21.11,AL136883,NM_020432,57157,ENSG00000006576,37.65,7,77428122,77586818,
HGNC:10625,CCL26,C-C motif chemokine ligand 26,Approved,SCYA26,"MIP-4alpha, eotaxin-3, IMAC, MIP-4a, TSC-1",7q11.23,AF124601,NM_006072,10344,ENSG00000006606,48.09,7,75398851,75419214,
HGNC:16460,FARP2,"FERM, ARH/RhoGEF and pleckstrin domain protein 2",Approved,,"KIAA0793, FIR, PLEKHC3, FRG",2q37.3,AB018336,,9855,ENSG00000006607,45.6,2,242295658,242434256,
HGNC:12597,USH1C,USH1 protein network component harmonin,Approved,DFNB18,"PDZ73, harmonin, NY-CO-37, NY-CO-38, PDZ-73, AIE-75, PDZD7C",11p15.1,AB006955,NM_005709,10083,ENSG00000006611,51.78,11,17515442,17565963,
HGNC:21705,GGCT,gamma-glutamylcyclotransferase,Approved,"C7orf24, GCTG","MGC3077, CRF21, Ggc",7p14.3,BC019243,NM_024051,79017,ENSG00000006625,42.02,7,30536237,30591095,
HGNC:17364,DBF4,DBF4 zinc finger,Approved,,"ASK, chif, ZDBF1, DBF4A",7q21.12,AF160876,NM_006716,10926,ENSG00000006634,36.72,7,87505531,87538856,
HGNC:11608,TBXA2R,thromboxane A2 receptor,Approved,,,19p13.3,,,6915,ENSG00000006638,55.77,19,3594504,3606838,
HGNC:5456,IFRD1,interferon related developmental regulator 1,Approved,,"PC4, TIS7",7q31.1,Y10313,NM_001550,3475,ENSG00000006652,39.45,7,112063023,112121072,
HGNC:30054,LGALS14,galectin 14,Approved,,"PPL13, CLC2",19q13.2,AF267852,NM_020129,56891,ENSG00000006659,45.3,19,40194946,40200084,
HGNC:2260,COX10,cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10,Approved,,,17p12,U09466,NM_001303,1352,ENSG00000006695,38.47,17,13972813,14111994,
HGNC:4661,GTF2IRD1,GTF2I repeat domain containing 1,Approved,WBSCR11,"MusTRD1, RBAP2, GTF3, WBSCR12, BEN, Cream1",7q11.23,AF151354,NM_016328,9569,ENSG00000006704,52.72,7,73868120,74016931,
HGNC:25459,PAF1,"PAF1 homolog, Paf1/RNA polymerase II complex component",Approved,,"PD2, F23149_1, FLJ11123",19q13.2,,NM_019088,54623,ENSG00000006712,52.73,19,39876492,39881835,
HGNC:12713,VPS41,VPS41 subunit of HOPS complex,Approved,,HVSP41,7p14.1,U87309,,27072,ENSG00000006715,38.35,7,38762563,38971994,
HGNC:29096,ARHGAP44,Rho GTPase activating protein 44,Approved,,"KIAA0672, RICH-2, RICH2",17p12,,NM_014859,9912,ENSG00000006740,42.68,17,12692856,12894960,
HGNC:14198,ELAC2,elaC ribonuclease Z 2,Approved,,"FLJ10530, HPC2",17p12,AF304370,,60528,ENSG00000006744,48.08,17,12895708,12921504,
HGNC:21695,SCIN,scinderin,Approved,,KIAA1905,7p21.3,AF276507,NM_033128,85477,ENSG00000006747,38.55,7,12610203,12693228,
HGNC:7571,MYH13,myosin heavy chain 13,Approved,,MyHC-eo,17p13.1,AF075248,NM_003802,8735,ENSG00000006788,45.69,17,10201401,10276447,
HGNC:24041,ADIPOR2,adiponectin receptor 2,Approved,,"PAQR2, ACDCR2",12p13.33,AY424280,NM_024551,79602,ENSG00000006831,39.4,12,1797740,1897844,
HGNC:15483,CDKL3,cyclin dependent kinase like 3,Approved,,NKIAMRE,5q31.1,AF130372,NM_001113575,51265,ENSG00000006837,41.3,5,133541305,133706738,
HGNC:23061,UPP2,uridine phosphorylase 2,Approved,,"UPASE2, UP2, UDRPASE2",2q24.1,AY225131,NM_173355,151531,ENSG00000007001,40.24,2,158733214,158992666,
HGNC:9485,PRSS21,serine protease 21,Approved,,"ESP-1, TEST1",16p13.3,AF058300,NM_006799,10942,ENSG00000007038,55.67,16,2867164,2876305,
