GENE,ENSGID,ENTREZ,Synonyms,GENE_description,HGNC,Chromosome,OMIM ID(supplied by OMIM)
ABCA7,ENSG00000064687,10347,ABCX,ATP binding cassette subfamily A member 7,HGNC:37,19p13.3,605414
ABCA8,ENSG00000141338,10351,KIAA0822,ATP binding cassette subfamily A member 8,HGNC:38,17q24.2,612505
ABCA9,ENSG00000154258,10350,EST640918,ATP binding cassette subfamily A member 9,HGNC:39,17q24.2,612507
ABCB1,ENSG00000085563,5243,"P-gp, CD243, GP170, ABC20",ATP binding cassette subfamily B member 1,HGNC:40,7q21.12,171050
ABCB10,ENSG00000135776,23456,"EST20237, M-ABC2, MTABC2",ATP binding cassette subfamily B member 10,HGNC:41,1q42.13,605454
ABCB11,ENSG00000073734,8647,"ABC16, SPGP, PFIC-2, PGY4",ATP binding cassette subfamily B member 11,HGNC:42,2q31.1,603201
ABCB4,ENSG00000005471,5244,"MDR2, PFIC-3, GBD1",ATP binding cassette subfamily B member 4,HGNC:45,7q21.12,171060
ABCB5,ENSG00000004846,340273,"EST422562, ABCB5beta, ABCB5alpha",ATP binding cassette subfamily B member 5,HGNC:46,7p21.1,611785
ABCB6,ENSG00000115657,10058,"EST45597, umat, MTABC3",ATP binding cassette subfamily B member 6 (Langereis blood group),HGNC:47,2q35,605452
ABCB7,ENSG00000131269,22,"EST140535, Atm1p, ASAT",ATP binding cassette subfamily B member 7,HGNC:48,Xq13.3,300135
ABCB8,ENSG00000197150,11194,"EST328128, M-ABC1, MABC1, MITOSUR",ATP binding cassette subfamily B member 8,HGNC:49,7q36.1,605464
ABCB9,ENSG00000150967,23457,EST122234,ATP binding cassette subfamily B member 9,HGNC:50,12q24.31,605453
ABCC1,ENSG00000103222,4363,GS-X,ATP binding cassette subfamily C member 1,HGNC:51,16p13.11,158343
ABCC10,ENSG00000124574,89845,"EST182763, MRP7, SIMRP7",ATP binding cassette subfamily C member 10,HGNC:52,6p21.1,612509
ABCC11,ENSG00000121270,85320,MRP8,ATP binding cassette subfamily C member 11,HGNC:14639,16q12.1,607040
ABCC12,ENSG00000140798,94160,MRP9,ATP binding cassette subfamily C member 12,HGNC:14640,16q12.1,607041
ABCC2,ENSG00000023839,1244,"DJS, MRP2, cMRP",ATP binding cassette subfamily C member 2,HGNC:53,10q24.2,601107
ABCC3,ENSG00000108846,8714,"MRP3, cMOAT2, EST90757, MLP2, MOAT-D",ATP binding cassette subfamily C member 3,HGNC:54,17q21.33,604323
ABCC4,ENSG00000125257,10257,"MRP4, EST170205, MOAT-B, MOATB",ATP binding cassette subfamily C member 4,HGNC:55,13q32.1,605250
ABCC5,ENSG00000114770,10057,"MRP5, SMRP, EST277145, MOAT-C",ATP binding cassette subfamily C member 5,HGNC:56,3q27.1,605251
ABCC6,ENSG00000091262,368,"MRP6, EST349056, MLP1, URG7",ATP binding cassette subfamily C member 6,HGNC:57,16p13.11,603234
ABCC8,ENSG00000006071,6833,"HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2",ATP binding cassette subfamily C member 8,HGNC:59,11p15.1,600509
ABCC9,ENSG00000069431,10060,"SUR2, CMD1O",ATP binding cassette subfamily C member 9,HGNC:60,12p12.1,601439
ABCD1,ENSG00000101986,215,"AMN, ALDP, adrenoleukodystrophy",ATP binding cassette subfamily D member 1,HGNC:61,Xq28,300371
ABCD2,ENSG00000173208,225,"ALDR, ALDRP",ATP binding cassette subfamily D member 2,HGNC:66,12q12,601081
ABCD3,ENSG00000117528,5825,"PMP70, ZWS2",ATP binding cassette subfamily D member 3,HGNC:67,1p21.3,170995
ABCD4,ENSG00000119688,5826,"PMP69, P70R, EST352188",ATP binding cassette subfamily D member 4,HGNC:68,14q24.3,603214
ABCE1,ENSG00000164163,6059,"RLI, OABP, RLI1",ATP binding cassette subfamily E member 1,HGNC:69,4q31.21,601213
ABCF1,ENSG00000204574,23,EST123147,ATP binding cassette subfamily F member 1,HGNC:70,6p21.33,603429
ABCF2,ENSG00000033050,10061,"EST133090, ABC28, M-ABC1, HUSSY-18",ATP binding cassette subfamily F member 2,HGNC:71,7q36.1,612510
ABCF3,ENSG00000161204,55324,EST201864,ATP binding cassette subfamily F member 3,HGNC:72,3q27.1,
ABCG1,ENSG00000160179,9619,ABC8,ATP binding cassette subfamily G member 1,HGNC:73,21q22.3,603076
ABCG2,ENSG00000118777,9429,"EST157481, MXR, BCRP, ABCP, CD338",ATP binding cassette subfamily G member 2 (Junior blood group),HGNC:74,4q22.1,603756
ABCG4,ENSG00000172350,64137,WHITE2,ATP binding cassette subfamily G member 4,HGNC:13884,11q23.3,607784
ABCG5,ENSG00000138075,64240,STSL,ATP binding cassette subfamily G member 5,HGNC:13886,2p21,605459
ABCG8,ENSG00000143921,64241,GBD4,ATP binding cassette subfamily G member 8,HGNC:13887,2p21,605460
ABHD1,ENSG00000143994,84696,"LABH1, FLJ36128",abhydrolase domain containing 1,HGNC:17553,2p23.3,612195
ABHD10,ENSG00000144827,55347,FLJ11342,"abhydrolase domain containing 10, depalmitoylase",HGNC:25656,3q13.2,
ABHD11,ENSG00000106077,83451,PP1226,abhydrolase domain containing 11,HGNC:16407,7q11.23,
ABHD12,ENSG00000100997,26090,"DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A","abhydrolase domain containing 12, lysophospholipase",HGNC:15868,20p11.21,613599
ABHD12B,ENSG00000131969,145447,BEM46L3,abhydrolase domain containing 12B,HGNC:19837,14q22.1,
ABHD13,ENSG00000139826,84945,"bA153I24.2, FLJ14906, BEM46L1",abhydrolase domain containing 13,HGNC:20293,13q33.3,
ABHD14A,ENSG00000248487,25864,"DKFZP564O243, DORZ1",abhydrolase domain containing 14A,HGNC:24538,3p21.2,
ABHD14B,ENSG00000114779,84836,"MGC15429, CIB",abhydrolase domain containing 14B,HGNC:28235,3p21.2,
ABHD15,ENSG00000168792,116236,,abhydrolase domain containing 15,HGNC:26971,17q11.2,
ABHD16A,ENSG00000204427,7920,"NG26, D6S82E","abhydrolase domain containing 16A, phospholipase",HGNC:13921,6p21.33,142620
ABHD16B,ENSG00000183260,140701,dJ591C20.1,abhydrolase domain containing 16B,HGNC:16128,20q13.33,
ABHD17A,ENSG00000129968,81926,MGC5244,"abhydrolase domain containing 17A, depalmitoylase",HGNC:28756,19p13.3,617942
ABHD17B,ENSG00000107362,51104,CGI-67,"abhydrolase domain containing 17B, depalmitoylase",HGNC:24278,9q21.13,617943
ABHD17C,ENSG00000136379,58489,,"abhydrolase domain containing 17C, depalmitoylase",HGNC:26925,15q25.1,617944
ABHD18,ENSG00000164074,80167,FLJ21106,abhydrolase domain containing 18,HGNC:26111,4q28.2,
ABHD2,ENSG00000140526,11057,LABH2,"abhydrolase domain containing 2, acylglycerol lipase",HGNC:18717,15q26.1,612196
ABHD3,ENSG00000158201,171586,LABH3,"abhydrolase domain containing 3, phospholipase",HGNC:18718,18q11.2,612197
ABHD4,ENSG00000100439,63874,FLJ12816,"abhydrolase domain containing 4, N-acyl phospholipase B",HGNC:20154,14q11.2,
ABHD5,ENSG00000011198,51099,"CGI-58, NCIE2","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",HGNC:21396,3p21.33,604780
ABHD6,ENSG00000163686,57406,,"abhydrolase domain containing 6, acylglycerol lipase",HGNC:21398,3p14.3,616966
ABHD8,ENSG00000127220,79575,"FLJ11743, MGC14280, MGC2512",abhydrolase domain containing 8,HGNC:23759,19p13.11,
ABI1,ENSG00000136754,10006,"E3B1, ABI-1",abl interactor 1,HGNC:11320,10p12.1,603050
ABI2,ENSG00000138443,10152,"ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2",abl interactor 2,HGNC:24011,2q33.2,606442
ABI3,ENSG00000108798,51225,"NESH, SSH3BP3",ABI family member 3,HGNC:29859,17q21.32,606363
ABI3BP,ENSG00000154175,25890,"NESHBP, DKFZP586L2024, TARSH",ABI family member 3 binding protein,HGNC:17265,3q12.2,606279
ABITRAM,ENSG00000119328,54942,"CG-8, FLJ20457, Simiate",actin binding transcription modulator,HGNC:1364,9q31.3,
ABL1,ENSG00000097007,25,"JTK7, c-ABL, p150","ABL proto-oncogene 1, non-receptor tyrosine kinase",HGNC:76,9q34.12,189980
ABL2,ENSG00000143322,27,ARG,"ABL proto-oncogene 2, non-receptor tyrosine kinase",HGNC:77,1q25.2,164690
ABLIM1,ENSG00000099204,3983,"abLIM, limatin",actin binding LIM protein 1,HGNC:78,10q25.3,602330
ABLIM2,ENSG00000163995,84448,KIAA1808,actin binding LIM protein family member 2,HGNC:19195,4p16.1,612544
ABLIM3,ENSG00000173210,22885,KIAA0843,actin binding LIM protein family member 3,HGNC:29132,5q32,611305
ABO,ENSG00000175164,28,"A3GALNT, A3GALT1","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",HGNC:79,9q34.2,110300
ABR,ENSG00000159842,29,MDB,ABR activator of RhoGEF and GTPase,HGNC:81,17p13.3,600365
ABRA,ENSG00000174429,137735,STARS,actin binding Rho activating protein,HGNC:30655,8q23.1,609747
ABRACL,ENSG00000146386,58527,"PRO2013, HSPC280, Costars",ABRA C-terminal like,HGNC:21230,6q24.1,
ABRAXAS1,ENSG00000163322,84142,"FLJ13614, ABRA1, ABRAXAS","abraxas 1, BRCA1 A complex subunit",HGNC:25829,4q21.23,611143
ABRAXAS2,ENSG00000165660,23172,"Em:AC068896.4, ABRO1","abraxas 2, BRISC complex subunit",HGNC:28975,10q26.13,611144
ABT1,ENSG00000146109,29777,Esf2,activator of basal transcription 1,HGNC:17369,6p22.2,
ABTB1,ENSG00000114626,80325,"BPOZ, EF1ABP, Btb3, BTBD21",ankyrin repeat and BTB domain containing 1,HGNC:18275,3q21.3,608308
ABTB2,ENSG00000166016,25841,"DKFZP586C1619, BTBD22, ABTB2A",ankyrin repeat and BTB domain containing 2,HGNC:23842,11p13,
ACAA1,ENSG00000060971,30,,acetyl-CoA acyltransferase 1,HGNC:82,3p22.2,604054
ACAA2,ENSG00000167315,10449,DSAEC,acetyl-CoA acyltransferase 2,HGNC:83,18q21.1,604770
ACACA,ENSG00000278540,31,ACC1,acetyl-CoA carboxylase alpha,HGNC:84,17q12,200350
ACACB,ENSG00000076555,32,"HACC275, ACC2, ACCB",acetyl-CoA carboxylase beta,HGNC:85,12q24.11,601557
ACAD10,ENSG00000111271,80724,MGC5601,acyl-CoA dehydrogenase family member 10,HGNC:21597,12q24.12,611181
ACAD11,ENSG00000240303,84129,FLJ12592,acyl-CoA dehydrogenase family member 11,HGNC:30211,3q22.1,614288
ACAD8,ENSG00000151498,27034,,acyl-CoA dehydrogenase family member 8,HGNC:87,11q25,604773
ACAD9,ENSG00000177646,28976,"NPD002, MGC14452",acyl-CoA dehydrogenase family member 9,HGNC:21497,3q21.3,611103
ACADL,ENSG00000115361,33,"LCAD, ACAD4",acyl-CoA dehydrogenase long chain,HGNC:88,2q34,609576
ACADM,ENSG00000117054,34,"MCAD, MCADH, ACAD1",acyl-CoA dehydrogenase medium chain,HGNC:89,1p31.1,607008
ACADS,ENSG00000122971,35,"SCAD, ACAD3",acyl-CoA dehydrogenase short chain,HGNC:90,12q24.31,606885
ACADSB,ENSG00000196177,36,"SBCAD, ACAD7",acyl-CoA dehydrogenase short/branched chain,HGNC:91,10q26.13,600301
ACADVL,ENSG00000072778,37,"VLCAD, LCACD, ACAD6",acyl-CoA dehydrogenase very long chain,HGNC:92,17p13.1,609575
ACAN,ENSG00000157766,176,CSPGCP,aggrecan,HGNC:319,15q26.1,155760
ACAP1,ENSG00000072818,9744,KIAA0050,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",HGNC:16467,17p13.1,607763
ACAP2,ENSG00000114331,23527,"KIAA0041, CNT-B2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",HGNC:16469,3q29,607766
ACAP3,ENSG00000131584,116983,KIAA1716,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",HGNC:16754,1p36.33,
ACAT1,ENSG00000075239,38,THIL,acetyl-CoA acetyltransferase 1,HGNC:93,11q22.3,607809
ACAT2,ENSG00000120437,39,,acetyl-CoA acetyltransferase 2,HGNC:94,6q25.3,100678
ACBD3,ENSG00000182827,64746,"GCP60, PAP7",acyl-CoA binding domain containing 3,HGNC:15453,1q42.12,606809
ACBD4,ENSG00000181513,79777,FLJ13322,acyl-CoA binding domain containing 4,HGNC:23337,17q21.31,
ACBD5,ENSG00000107897,91452,"DKFZp434A2417, KIAA1996",acyl-CoA binding domain containing 5,HGNC:23338,10p12.1,616618
ACBD6,ENSG00000230124,84320,MGC2404,acyl-CoA binding domain containing 6,HGNC:23339,1q25.2-q25.3,616352
ACBD7,ENSG00000176244,414149,"FLJ38219, bA455B2.2",acyl-CoA binding domain containing 7,HGNC:17715,10p13,
ACCS,ENSG00000110455,84680,"PHACS, ACS",1-aminocyclopropane-1-carboxylate synthase homolog (inactive),HGNC:23989,11p11.2,608405
ACCSL,ENSG00000205126,390110,,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like,HGNC:34391,11p11.2,
ACD,ENSG00000102977,65057,"Ptop, Pip1, Tpp1, Tint1",ACD shelterin complex subunit and telomerase recruitment factor,HGNC:25070,16q22.1,609377
ACE,ENSG00000159640,1636,"ACE1, CD143",angiotensin I converting enzyme,HGNC:2707,17q23.3,106180
ACE2,ENSG00000130234,59272,,angiotensin I converting enzyme 2,HGNC:13557,Xp22.2,300335
ACER1,ENSG00000167769,125981,,alkaline ceramidase 1,HGNC:18356,19p13.3,613491
ACER2,ENSG00000177076,340485,"FLJ41587, ALKCDase2",alkaline ceramidase 2,HGNC:23675,9p22.1,613492
ACER3,ENSG00000078124,55331,"FLJ11238, APHC",alkaline ceramidase 3,HGNC:16066,11q13.5,617036
ACHE,ENSG00000087085,43,,acetylcholinesterase (Cartwright blood group),HGNC:108,7q22.1,100740
ACIN1,ENSG00000100813,22985,"KIAA0670, fSAP152",apoptotic chromatin condensation inducer 1,HGNC:17066,14q11.2,604562
ACKR1,ENSG00000213088,2532,"CCBP1, GPD, Dfy, CD234",atypical chemokine receptor 1 (Duffy blood group),HGNC:4035,1q23.2,613665
ACKR2,ENSG00000144648,1238,"CCR10, D6, CCR9",atypical chemokine receptor 2,HGNC:1565,3p22.1,602648
ACKR3,ENSG00000144476,57007,"RDC1, GPR159",atypical chemokine receptor 3,HGNC:23692,2q37.3,610376
ACKR4,ENSG00000129048,51554,"CCR11, CCBP2, VSHK1, CCX-CKR, PPR1",atypical chemokine receptor 4,HGNC:1611,3q22.1,606065
ACLY,ENSG00000131473,47,"ATPCL, CLATP, ACL",ATP citrate lyase,HGNC:115,17q21.2,108728
ACMSD,ENSG00000153086,130013,,aminocarboxymuconate semialdehyde decarboxylase,HGNC:19288,2q21.3,608889
ACO1,ENSG00000122729,48,"IRP1, IREBP",aconitase 1,HGNC:117,9p21.1,100880
ACO2,ENSG00000100412,50,ACONM,aconitase 2,HGNC:118,22q13.2,100850
ACOD1,ENSG00000102794,730249,CAD,aconitate decarboxylase 1,HGNC:33904,13q22.3,615275
ACOT1,ENSG00000184227,641371,"ACH2, CTE-1, LACH2",acyl-CoA thioesterase 1,HGNC:33128,14q24.3,614313
ACOT11,ENSG00000162390,26027,"STARD14, BFIT, KIAA0707, BFIT1, THEM1",acyl-CoA thioesterase 11,HGNC:18156,1p32.3,606803
ACOT12,ENSG00000172497,134526,"Cach, THEAL, STARD15",acyl-CoA thioesterase 12,HGNC:24436,5q14.1,614315
ACOT13,ENSG00000112304,55856,HT012,acyl-CoA thioesterase 13,HGNC:20999,6p22.3,615652
ACOT2,ENSG00000119673,10965,"Mte1, ZAP128",acyl-CoA thioesterase 2,HGNC:18431,14q24.3,609972
ACOT4,ENSG00000177465,122970,"FLJ31235, PTE-Ib, PTE2B",acyl-CoA thioesterase 4,HGNC:19748,14q24.3,614314
ACOT6,ENSG00000205669,641372,,acyl-CoA thioesterase 6,HGNC:33159,14q24.3,614267
ACOT7,ENSG00000097021,11332,"BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH",acyl-CoA thioesterase 7,HGNC:24157,1p36.31,602587
ACOT8,ENSG00000101473,10005,"hACTE-III, hTE, PTE-2, NAP1",acyl-CoA thioesterase 8,HGNC:15919,20q13.12,608123
ACOT9,ENSG00000123130,23597,"CGI-16, MT-ACT48, ACATE2",acyl-CoA thioesterase 9,HGNC:17152,Xp22.11,300862
ACOX1,ENSG00000161533,51,PALMCOX,acyl-CoA oxidase 1,HGNC:119,17q25.1,609751
ACOX2,ENSG00000168306,8309,"BRCACOX, BRCOX, THCCox",acyl-CoA oxidase 2,HGNC:120,3p14.3,601641
ACOX3,ENSG00000087008,8310,,"acyl-CoA oxidase 3, pristanoyl",HGNC:121,4p16.1,603402
ACOXL,ENSG00000153093,55289,FLJ11042,acyl-CoA oxidase like,HGNC:25621,2q13,
ACP1,ENSG00000143727,52,"HAAP, LMW-PTP, LMWPTP",acid phosphatase 1,HGNC:122,2p25.3,171500
ACP2,ENSG00000134575,53,LAP,"acid phosphatase 2, lysosomal",HGNC:123,11p11.2,171650
ACP3,ENSG00000014257,55,"ACP-3, PAP, TM-PAP",acid phosphatase 3,HGNC:125,3q22.1,171790
ACP4,ENSG00000142513,93650,,acid phosphatase 4,HGNC:14376,19q13.33,606362
ACP5,ENSG00000102575,54,"TRAP, HPAP","acid phosphatase 5, tartrate resistant",HGNC:124,19p13.2,171640
ACP6,ENSG00000162836,51205,"LPAP, ACPL1","acid phosphatase 6, lysophosphatidic",HGNC:29609,1q21.2,611471
ACP7,ENSG00000183760,390928,"FLJ16165, PAPL1, PAPL","acid phosphatase 7, tartrate resistant (putative)",HGNC:33781,19q13.2,610490
ACR,ENSG00000100312,49,,acrosin,HGNC:126,22q13.33,102480
ACRBP,ENSG00000111644,84519,"SP32, OY-TES-1, CT23",acrosin binding protein,HGNC:17195,12p13.31,608352
ACRV1,ENSG00000134940,56,"SPACA2, SP-10, D11S4365",acrosomal vesicle protein 1,HGNC:127,11q24.2,102525
ACSBG1,ENSG00000103740,23205,"BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG",acyl-CoA synthetase bubblegum family member 1,HGNC:29567,15q25.1,614362
ACSBG2,ENSG00000130377,81616,"BGR, PRTD-NY3, DKFZp434K1635",acyl-CoA synthetase bubblegum family member 2,HGNC:24174,19p13.3,614363
ACSF2,ENSG00000167107,80221,"FLJ20920, ACSMW",acyl-CoA synthetase family member 2,HGNC:26101,17q21.33,610465
ACSF3,ENSG00000176715,197322,,acyl-CoA synthetase family member 3,HGNC:27288,16q24.3,614245
ACSL1,ENSG00000151726,2180,"LACS2, LACS, ACS1, LACS1, FACL1",acyl-CoA synthetase long chain family member 1,HGNC:3569,4q35.1,152425
ACSL3,ENSG00000123983,2181,"ACS3, PRO2194",acyl-CoA synthetase long chain family member 3,HGNC:3570,2q36.1,602371
ACSL4,ENSG00000068366,2182,"ACS4, LACS4",acyl-CoA synthetase long chain family member 4,HGNC:3571,Xq23,300157
ACSL5,ENSG00000197142,51703,"ACS5, ACS2",acyl-CoA synthetase long chain family member 5,HGNC:16526,10q25.2,605677
ACSL6,ENSG00000164398,23305,"KIAA0837, ACS2, LACS5, LACS2",acyl-CoA synthetase long chain family member 6,HGNC:16496,5q31.1,604443
ACSM1,ENSG00000166743,116285,MACS1,acyl-CoA synthetase medium chain family member 1,HGNC:18049,16p12.3,614357
ACSM2A,ENSG00000183747,123876,"A-923A4.1, MGC150530",acyl-CoA synthetase medium chain family member 2A,HGNC:32017,16p12.3,614358
ACSM2B,ENSG00000066813,348158,"HXMA, HYST1046",acyl-CoA synthetase medium chain family member 2B,HGNC:30931,16p12.3,614359
ACSM3,ENSG00000005187,6296,SA,acyl-CoA synthetase medium chain family member 3,HGNC:10522,16p12.3,145505
ACSM4,ENSG00000215009,341392,,acyl-CoA synthetase medium chain family member 4,HGNC:32016,12p13.31,614360
ACSM5,ENSG00000183549,54988,FLJ20581,acyl-CoA synthetase medium chain family member 5,HGNC:26060,16p12.3,614361
ACSM6,ENSG00000173124,142827,bA310E22.3,acyl-CoA synthetase medium chain family member 6,HGNC:31665,10q23.33,
ACSS1,ENSG00000154930,84532,"dJ568C11.3, AceCS2L, MGC33843",acyl-CoA synthetase short chain family member 1,HGNC:16091,20p11.21,614355
ACSS2,ENSG00000131069,55902,"ACS, ACSA, AceCS, dJ1161H23.1",acyl-CoA synthetase short chain family member 2,HGNC:15814,20q11.22,605832
ACSS3,ENSG00000111058,79611,FLJ21963,acyl-CoA synthetase short chain family member 3,HGNC:24723,12q21.31,614356
ACTA1,ENSG00000143632,58,NEM3,"actin alpha 1, skeletal muscle",HGNC:129,1q42.13,102610
ACTA2,ENSG00000107796,59,ACTSA,"actin alpha 2, smooth muscle",HGNC:130,10q23.31,102620
ACTB,ENSG00000075624,60,,actin beta,HGNC:132,7p22.1,102630
ACTBL2,ENSG00000169067,345651,DKFZp686D0972,actin beta like 2,HGNC:17780,5q11.2,614835
ACTC1,ENSG00000159251,70,CMD1R,actin alpha cardiac muscle 1,HGNC:143,15q14,102540
ACTG1,ENSG00000184009,71,,actin gamma 1,HGNC:144,17q25.3,102560
ACTG2,ENSG00000163017,72,ACTSG,"actin gamma 2, smooth muscle",HGNC:145,2p13.1,102545
ACTL10,ENSG00000182584,170487,,actin like 10,HGNC:16127,20q11.22,
ACTL6A,ENSG00000136518,86,"Actl6, BAF53A, Arp4, Baf53a, INO80K",actin like 6A,HGNC:24124,3q26.33,604958
ACTL6B,ENSG00000077080,51412,BAF53B,actin like 6B,HGNC:160,7q22.1,612458
ACTL7A,ENSG00000187003,10881,,actin like 7A,HGNC:161,9q31.3,604303
ACTL7B,ENSG00000148156,10880,Tact1,actin like 7B,HGNC:162,9q31.3,604304
ACTL8,ENSG00000117148,81569,CT57,actin like 8,HGNC:24018,1p36.13,
ACTL9,ENSG00000181786,284382,MGC33407,actin like 9,HGNC:28494,19p13.2,
ACTN1,ENSG00000072110,87,,actinin alpha 1,HGNC:163,14q24.1,102575
ACTN2,ENSG00000077522,88,,actinin alpha 2,HGNC:164,1q43,102573
ACTN3,ENSG00000248746,89,,actinin alpha 3 (gene/pseudogene),HGNC:165,11q13.2,102574
ACTN4,ENSG00000130402,81,,actinin alpha 4,HGNC:166,19q13.2,604638
ACTR10,ENSG00000131966,55860,"HARP11, ACTR11, Arp11, Arp10",actin related protein 10,HGNC:17372,14q23.1,
ACTR1A,ENSG00000138107,10121,"ARP1, Arp1A",actin related protein 1A,HGNC:167,10q24.32,605143
ACTR1B,ENSG00000115073,10120,Arp1B,actin related protein 1B,HGNC:168,2q11.2,605144
ACTR2,ENSG00000138071,10097,ARP2,actin related protein 2,HGNC:169,2p14,604221
ACTR3,ENSG00000115091,10096,ARP3,actin related protein 3,HGNC:170,2q14.1,604222
